mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	e.i				e	i		i		i							m	1	1	4, 1, 5		4	4	0	25	0.0	0.0	7.0	0.0
3	3	0	0	4/4	4	1	V2(9)/V				e	i		V2(9)/V		V		2	9	V			Mm7	1	1	4, 6, 10, 7	8	6	4	5	3	0.625	1.25	1.5	0.45454545454545453
3	3	1/2	1/2	4/4	4	1	V2/V				e	i		V2/V		V		2		V			Mm7	1	1	4, 6, 10, 7		6	4	1	5	0.16666666666666666	0.25	1.0	0.2
4	4	0	0	4/4	4	1	V(4)				e	i		V(4)		V			4				M	1	1	5, 4, 6		5	5	0	9	0.0	0.0	2.75	0.0
4	4	1/2	1/2	4/4	4	1	V				e	i		V		V							M	1	1	5, 9, 6		5	5	0	6	0.0	0.0	1.25	0.0
5	5	0	0	4/4	4	1	i(4)				e	i		i(4)		i			4				m	1	1	4, 3, 5		4	4	1	3	0.25	0.25	1.5	0.14285714285714285
5	5	1/4	1/4	4/4	4	1	i				e	i		i		i							m	1	1	4, 1, 5		4	4	1	8	0.1111111111111111	0.125	1.625	0.07142857142857142
6	6	0	0	4/4	4	1	iv6(11)				e	i		iv6(11)		iv		6	11				m	1	1	0, 4, 3	2	3	0	0	5	0.0	0.0	1.875	0.0
6	6	1/4	1/4	4/4	4	1	iv6				e	i		iv6		iv		6					m	1	1	0, 4, 3		3	0	0	3	0.0	0.0	0.75	0.0
6	6	1/2	1/2	4/4	4	1	iv6(2)				e	i		iv6(2)		iv		6	2				m	1	1	0, 4, 5		3	0	0	3	0.0	0.0	0.75	0.0
6	6	3/4	3/4	4/4	4	1	iv6				e	i		iv6		iv		6					m	1	1	0, 4, 3		3	0	0	3	0.0	0.0	0.5	0.0
7	7	0	0	4/4	4	1	ii%65(2)				e	i		ii%65(2)		ii	%	65	2				%7	1	1	3, 0, 4, 1		6	3	0	6	0.0	0.0	2.0	0.0
7	7	1/4	1/4	4/4	4	1	ii%65				e	i		ii%65		ii	%	65					%7	1	1	3, 0, 4, 6		6	3	1	8	0.1111111111111111	0.125	1.625	0.07142857142857142
8	8	0	0	4/4	4	1	ii[iv6(2)				e	i	ii	iv6(2)		iv		6	2				m	1	1	0, 4, 5		3	0	1	5	0.16666666666666666	1.0	1.0	0.5
8	8	1/4	1/4	4/4	4	1	iv6				e	i	ii	iv6		iv		6					m	1	1	0, 4, 3		3	0	0	3	0.0	0.0	0.75	0.0
8	8	1/2	1/2	4/4	4	1	III6				e	i	ii	III6		III		6					M	1	1	5, 2, 1		1	5	0	3	0.0	0.0	0.75	0.0
8	8	3/4	3/4	4/4	4	1	iio6]				e	i	ii	iio6		ii	o	6					o	1	1	3, 0, 6		6	3	0	3	0.0	0.0	0.5	0.0
9	9	0	0	4/4	4	1	V7(94)				e	i		V7(94)		V		7	94				Mm7	1	1	5, 4, 6, 3	0	5	5	0	4	0.0	0.0	1.75	0.0
9	9	1/4	1/4	4/4	4	1	V7(9)				e	i		V7(9)		V		7	9				Mm7	1	1	5, 9, 6, 3	0	5	5	0	3	0.0	0.0	0.75	0.0
9	9	1/2	1/2	4/4	4	1	V(6)				e	i		V(6)		V			6				M	1	1	5, 9, 1		5	5	0	2	0.0	0.0	0.5	0.0
9	9	3/4	3/4	4/4	4	1	V7				e	i		V7		V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	3	0.0	0.0	0.5	0.0
10	10	0	0	4/4	4	1	i				e	i		i		i							m	1	1	4, 1, 5		4	4	0	13	0.0	0.0	3.75	0.0
11	11	0	0	4/4	4	1	V2(9)/V				e	i		V2(9)/V		V		2	9	V			Mm7	1	1	4, 6, 10, 7	8	6	4	5	3	0.625	1.25	1.5	0.45454545454545453
11	11	1/2	1/2	4/4	4	1	V2/V				e	i		V2/V		V		2		V			Mm7	1	1	4, 6, 10, 7		6	4	1	5	0.16666666666666666	0.25	1.0	0.2
12	12	0	0	4/4	4	1	V(4)				e	i		V(4)		V			4				M	1	1	5, 4, 6		5	5	0	9	0.0	0.0	2.75	0.0
12	12	1/2	1/2	4/4	4	1	V				e	i		V		V							M	1	1	5, 9, 6		5	5	0	6	0.0	0.0	1.125	0.0
13	13	0	0	4/4	4	1	V7(4)/iv				e	i		V7(4)/iv		V		7	4	iv			Mm7	1	1	4, 3, 5, 2		4	4	0	4	0.0	0.0	1.25	0.0
13	13	1/4	1/4	4/4	4	1	V7(b9)/iv				e	i		V7(b9)/iv		V		7	b9	iv			Mm7	1	1	4, 8, 5, 2	-8	4	4	1	2	0.3333333333333333	0.25	0.5	0.3333333333333333
