mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.Eb.I	Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
1	1	1/2	V7/IV	Eb	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
2	2	0	IV	Eb	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
3	3	1/8	V2	Eb	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
3	3	1/4	I6	Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
3	3	3/8	V43	Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
3	3	1/2	I(74)	Eb	I		I(74)	I			74			M	0	0	0, -1, 1	5	0.0	0.0
3	3	3/4	I\\	Eb	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
4	4	0	iv6/iii	Eb	I		iv6/iii	iv		6		iii		m	0	0	0, 4, 3		3.0	0.0
5	5	0	V7/iii	Eb	I		V7/iii	V		7		iii		Mm7	0	0	5, 9, 6, 3		5.0	5.0
6	6	1/8	vi	Eb	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
6	6	1/4	vi6	Eb	I		vi6	vi		6				m	0	0	0, 4, 3		3.0	0.0
6	6	1/2	viio64/V	Eb	I		viio64/V	vii	o	64		V		o	0	0	0, 6, 3		6.0	0.0
6	6	3/4	#viio6/vi	Eb	I		#viio6/vi	#vii	o	6		vi		o	0	0	5, 2, 8		8.0	5.0
7	7	0	#viio6(2)/vi	Eb	I		#viio6(2)/vi	#vii	o	6	2	vi		o	0	0	5, 2, 3		8.0	5.0
7	7	1/4	V64(b5)/vi	Eb	I		V64(b5)/vi	V		64	b5	vi		M	0	0	-2, 4, 8		4.0	-2.0
7	7	1/2	V65(6)/ii	Eb	I		V65(6)/ii	V		65	6	ii		Mm7	0	0	7, -1, 1, 3		3.0	7.0
7	7	3/4	V65/ii	Eb	I		V65/ii	V		65		ii		Mm7	0	0	7, 4, 1, 3		3.0	7.0
8	8	0	ii(9)	Eb	I		ii(9)	ii			9			m	0	0	2, -1, 3	4	2.0	2.0
8	8	1/8	ii	Eb	I		ii	ii						m	0	0	2, -1, 3		2.0	2.0
8	8	1/4	ii6	Eb	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
8	8	1/2	V7(4)	Eb	I		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1.0	1.0
8	8	3/4	V7	Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
8	8	7/8	V7(9)	Eb	I		V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
9	9	1/4	V6(6)	Eb	I		V6(6)	V		6	6			M	0	0	5, 4, 1		1.0	5.0
9	9	3/8	V65	Eb	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
9	9	1/2	I(94)	Eb	I		I(94)	I			94			M	0	0	0, -1, 1	2	0.0	0.0
9	9	3/4	I\\	Eb	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
9	9	7/8	vi	Eb	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
10	10	0	I6	Eb	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
10	10	1/4	V43	Eb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
10	10	3/8	I	Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
10	10	1/2	ii6(#7)	Eb	I		ii6(#7)	ii		6	#7			m	0	0	-1, 3, 7		2.0	-1.0
10	10	3/4	ii6	Eb	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
10	10	7/8	I	Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
11	11	0	vi6	Eb	I		vi6	vi		6				m	0	0	0, 4, 3		3.0	0.0
11	11	1/8	ii2	Eb	I		ii2	ii		2				mm7	0	0	0, 2, -1, 3		2.0	0.0
11	11	1/4	ii6	Eb	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
11	11	3/8	.bVII64	Eb	I										0	0				
11	11	1/2	V43(4)/IV	Eb	I		V43(4)/IV	V		43	4	IV		Mm7	0	0	1, -2, 0, -1		0.0	1.0
11	11	3/4	V43/IV	Eb	I		V43/IV	V		43		IV		Mm7	0	0	1, -2, 0, 4		0.0	1.0
11	11	7/8	I	Eb	I		I	I						M	0	0	0, 4, 1		0.0	0.0
12	12	0	V7/IV	Eb	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
12	12	1/4	viio6/IV	Eb	I		viio6/IV	vii	o	6		IV		o	0	0	1, -2, 4		4.0	1.0
12	12	1/2	V43/V	Eb	I		V43/V	V		43		V		Mm7	0	0	3, 0, 2, 6		2.0	3.0
12	12	3/4	viio6/V	Eb	I		viio6/V	vii	o	6		V		o	0	0	3, 0, 6		6.0	3.0
12	12	7/8	viio64/V	Eb	I		viio64/V	vii	o	64		V		o	0	0	0, 6, 3		6.0	0.0
13	13	0	iv6	Eb	I		iv6	iv		6				m	0	0	-4, 0, -1		-1.0	-4.0
