mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.e.i	e	i		i		i						m	1	1	0, -3, 1		0	0
3	3	0	0	4/4	1	1	V2(9)/V	e	i		V2(9)/V		V		2	9	V		Mm7	1	1	0, 2, 6, 3	4	2	0
3	3	1/2	1/2	4/4	1	1	V2/V	e	i		V2/V		V		2		V		Mm7	1	1	0, 2, 6, 3		2	0
4	4	0	0	4/4	1	1	V(4)	e	i		V(4)		V			4			M	1	1	1, 0, 2		1	1
4	4	1/2	1/2	4/4	1	1	V	e	i		V		V						M	1	1	1, 5, 2		1	1
5	5	0	0	4/4	1	1	i(4)	e	i		i(4)		i			4			m	1	1	0, -1, 1		0	0
5	5	1/4	1/4	4/4	1	1	i	e	i		i		i						m	1	1	0, -3, 1		0	0
6	6	0	0	4/4	1	1	iv6(11)	e	i		iv6(11)		iv		6	11			m	1	1	-4, 0, -1	-2	-1	-4
6	6	1/4	1/4	4/4	1	1	iv6	e	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
6	6	1/2	1/2	4/4	1	1	iv6(2)	e	i		iv6(2)		iv		6	2			m	1	1	-4, 0, 1		-1	-4
6	6	3/4	3/4	4/4	1	1	iv6	e	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
7	7	0	0	4/4	1	1	ii%65(2)	e	i		ii%65(2)		ii	%	65	2			%7	1	1	-1, -4, 0, -3		2	-1
7	7	1/4	1/4	4/4	1	1	ii%65	e	i		ii%65		ii	%	65				%7	1	1	-1, -4, 0, 2		2	-1
8	8	0	0	4/4	1	1	ii[iv6(2)	e	i	ii	iv6(2)		iv		6	2			m	1	1	-4, 0, 1		-1	-4
8	8	1/4	1/4	4/4	1	1	iv6	e	i	ii	iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
8	8	1/2	1/2	4/4	1	1	III6	e	i	ii	III6		III		6				M	1	1	1, -2, -3		-3	1
8	8	3/4	3/4	4/4	1	1	iio6]	e	i	ii	iio6		ii	o	6				o	1	1	-1, -4, 2		2	-1
9	9	0	0	4/4	1	1	V7(94)	e	i		V7(94)		V		7	94			Mm7	1	1	1, 0, 2, -1	-4	1	1
9	9	1/4	1/4	4/4	1	1	V7(9)	e	i		V7(9)		V		7	9			Mm7	1	1	1, 5, 2, -1	-4	1	1
9	9	1/2	1/2	4/4	1	1	V(6)	e	i		V(6)		V			6			M	1	1	1, 5, -3		1	1
9	9	3/4	3/4	4/4	1	1	V7	e	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
10	10	0	0	4/4	1	1	i	e	i		i		i						m	1	1	0, -3, 1		0	0
11	11	0	0	4/4	1	1	V2(9)/V	e	i		V2(9)/V		V		2	9	V		Mm7	1	1	0, 2, 6, 3	4	2	0
11	11	1/2	1/2	4/4	1	1	V2/V	e	i		V2/V		V		2		V		Mm7	1	1	0, 2, 6, 3		2	0
12	12	0	0	4/4	1	1	V(4)	e	i		V(4)		V			4			M	1	1	1, 0, 2		1	1
12	12	1/2	1/2	4/4	1	1	V	e	i		V		V						M	1	1	1, 5, 2		1	1
13	13	0	0	4/4	1	1	V7(4)/iv	e	i		V7(4)/iv		V		7	4	iv		Mm7	1	1	0, -1, 1, -2		0	0
13	13	1/4	1/4	4/4	1	1	V7(b9)/iv	e	i		V7(b9)/iv		V		7	b9	iv		Mm7	1	1	0, 4, 1, -2	-12	0	0
13	13	1/2	1/2	4/4	1	1	V(6)/iv	e	i		V(6)/iv		V			6	iv		M	1	1	0, 4, -4		0	0
13	13	3/4	3/4	4/4	1	1	V7/iv	e	i		V7/iv		V		7		iv		Mm7	1	1	0, 4, 1, -2		0	0
14	14	0	0	4/4	1	1	iv(11)	e	i		iv(11)		iv			11			m	1	1	-1, -4, 0	-2	-1	-1
14	14	1/4	1/4	4/4	1	1	iv	e	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
14	14	1/2	1/2	4/4	1	1	V7/iv	e	i		V7/iv		V		7		iv		Mm7	1	1	0, 4, 1, -2		0	0
14	14	3/4	3/4	4/4	1	1	V(64)/iv	e	i		V(64)/iv		V			64	iv		M	1	1	0, -1, -4		0	0
15	15	0	0	4/4	1	1	V7(b94)/iv	e	i		V7(b94)/iv		V		7	b94	iv		Mm7	1	1	0, -1, 1, -2	-12	0	0
15	15	1/4	1/4	4/4	1	1	V7(b9)/iv	e	i		V7(b9)/iv		V		7	b9	iv		Mm7	1	1	0, 4, 1, -2	-12	0	0
15	15	1/2	1/2	4/4	1	1	V(6)/iv	e	i		V(6)/iv		V			6	iv		M	1	1	0, 4, -4		0	0
15	15	3/4	3/4	4/4	1	1	V7/iv	e	i		V7/iv		V		7		iv		Mm7	1	1	0, 4, 1, -2		0	0
