mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.c.V	c	i		V	V						M	1	1	1, 5, 2		1.0	1.0
1	1	3/4	V2	c	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1.0	-1.0
1	1	9/8	V43	c	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
2	2	0	i6	c	i		i6	i		6				m	1	1	-3, 1, 0		0.0	-3.0
2	2	3/8	V43	c	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
2	2	3/4	i6	c	i		i6	i		6				m	1	1	-3, 1, 0		0.0	-3.0
2	2	9/8	V43	c	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
3	3	0	i	c	i		i	i						m	1	1	0, -3, 1		0.0	0.0
3	3	3/8	V65	c	i		V65	V		65				Mm7	1	1	5, 2, -1, 1		1.0	5.0
3	3	3/4	VI	c	i		VI	VI						M	1	1	-4, 0, -3		-4.0	-4.0
3	3	9/8	V43/iv	c	i		V43/iv	V		43		iv		Mm7	1	1	1, -2, 0, 4		0.0	1.0
4	4	0	iv	c	i		iv	iv						m	1	1	-1, -4, 0		-1.0	-1.0
4	4	3/8	V65/iv	c	i		V65/iv	V		65		iv		Mm7	1	1	4, 1, -2, 0		0.0	4.0
4	4	3/4	V(64)/iv	c	i		V(64)/iv	V			64	iv		M	1	1	0, -1, -4		0.0	0.0
4	4	9/8	V7/iv	c	i		V7/iv	V		7		iv		Mm7	1	1	0, 4, 1, -2		0.0	0.0
5	5	0	iv6	c	i		iv6	iv		6				m	1	1	-4, 0, -1		-1.0	-4.0
7	7	0	viio7/VII	c	i		viio7/VII	vii	o	7		VII		o7	1	1	3, 0, -3, -6		3.0	3.0
9	9	0	III64	c	i		III64	III		64				M	1	1	-2, -3, 1		-3.0	-2.0
9	9	3/4	viio65/VII	c	i		viio65/VII	vii	o	65		VII		o7	1	1	0, -3, -6, 3		3.0	0.0
10	10	0	VII6	c	i		VII6	VII		6				M	1	1	2, -1, -2		-2.0	2.0
10	10	3/4	#viio43	c	i		#viio43	#vii	o	43				o7	1	1	-1, -4, 5, 2		5.0	-1.0
11	11	0	i6	c	i		i6	i		6				m	1	1	-3, 1, 0		0.0	-3.0
11	11	3/8	V43	c	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
11	11	3/4	i	c	i		i	i						m	1	1	0, -3, 1		0.0	0.0
11	11	9/8	V2/iv	c	i		V2/iv	V		2		iv		Mm7	1	1	-2, 0, 4, 1		0.0	-2.0
12	12	0	iv6	c	i		iv6	iv		6				m	1	1	-4, 0, -1		-1.0	-4.0
12	12	3/8	V43/iv	c	i		V43/iv	V		43		iv		Mm7	1	1	1, -2, 0, 4		0.0	1.0
12	12	3/4	V65/iv	c	i		V65/iv	V		65		iv		Mm7	1	1	4, 1, -2, 0		0.0	4.0
12	12	9/8	iv	c	i		iv	iv						m	1	1	-1, -4, 0		-1.0	-1.0
13	13	0	V(64)	c	i		V(64)	V			64			M	1	1	1, 0, -3		1.0	1.0
13	13	3/4	V7	c	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
14	14	0	i\\	c	i		i	i					\\	m	1	1	0, -3, 1		0.0	0.0
15	15	0	V43	c	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
15	15	3/8	#viio6	c	i		#viio6	#vii	o	6				o	1	1	2, -1, 5		5.0	2.0
15	15	3/4	i6	c	i		i6	i		6				m	1	1	-3, 1, 0		0.0	-3.0
15	15	9/8	V43	c	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
15	15	11/8	i	c	i		i	i						m	1	1	0, -3, 1		0.0	0.0
16	16	0	ii65(2)/III	c	i		ii65(2)/III	ii		65	2	III		mm7	1	1	-4, 0, -3, 1		-1.0	-4.0
16	16	5/8	ii65/III	c	i		ii65/III	ii		65		III		mm7	1	1	-4, 0, -3, -1		-1.0	-4.0
16	16	3/4	V2(11)/III	c	i		V2(11)/III	V		2	11	III		Mm7	1	1	-4, -2, 2, -1	-3	-2.0	-4.0
16	16	1	V2/III	c	i		V2/III	V		2		III		Mm7	1	1	-4, -2, 2, -1		-2.0	-4.0
16	16	9/8	V2(9)/III	c	i		V2(9)/III	V		2	9	III		Mm7	1	1	-4, -2, 2, -1	0	-2.0	-4.0
16	16	11/8	V2/III	c	i		V2/III	V		2		III		Mm7	1	1	-4, -2, 2, -1		-2.0	-4.0
17	17	0	III6(9)	c	i		III6(9)	III		6	9			M	1	1	1, -2, -3	-1	-3.0	1.0
17	17	5/8	III6	c	i		III6	III		6				M	1	1	1, -2, -3		-3.0	1.0
17	17	3/4	ii%65	c	i		ii%65	ii	%	65				%7	1	1	1, 8, 0, 2		2.0	1.0
18	18	0	V(64)	c	i		V(64)	V			64			M	1	1	1, 0, -3		1.0	1.0
18	18	3/8	V7	c	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
18	18	3/4	i	c	i		i	i						m	1	1	0, -3, 1		0.0	0.0
18	18	9/8	V(64)	c	i		V(64)	V			64			M	1	1	1, 0, -3		1.0	1.0
19	19	0	V43	c	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
19	19	3/8	V7	c	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1.0	1.0
19	19	3/4	i6	c	i		i6	i		6				m	1	1	-3, 1, 0		0.0	-3.0
19	19	9/8	V43	c	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1.0	2.0
19	19	11/8	i	c	i		i	i						m	1	1	0, -3, 1		0.0	0.0
20	20	0	III.ii65(2)	c	III		ii65(2)	ii		65	2			mm7	1	0	-1, 3, 0, 4		2.0	-1.0
20	20	5/8	ii65	c	III		ii65	ii		65				mm7	1	0	-1, 3, 0, 2		2.0	-1.0
20	20	3/4	V2(11)	c	III		V2(11)	V		2	11			Mm7	1	0	-1, 1, 5, 2	0	1.0	-1.0
20	20	1	V2	c	III		V2	V		2				Mm7	1	0	-1, 1, 5, 2		1.0	-1.0
21	21	0	I6(9)	c	III		I6(9)	I		6	9			M	1	0	4, 1, 0	2	0.0	4.0
21	21	1/4	I6	c	III		I6	I		6				M	1	0	4, 1, 0		0.0	4.0
21	21	3/8	I	c	III		I	I						M	1	0	0, 4, 1		0.0	0.0
21	21	5/8	vi65	c	III		vi65	vi		65				mm7	1	0	0, 4, 1, 3		3.0	0.0
21	21	3/4	V65	c	III		V65	V		65				Mm7	1	0	5, 2, -1, 1		1.0	5.0
21	21	9/8	V7	c	III		V7	V		7				Mm7	1	0	1, 5, 2, -1		1.0	1.0
22	22	0	I	c	III		I	I						M	1	0	0, 4, 1		0.0	0.0
22	22	3/8	I6(11)	c	III		I6(11)	I		6	11			M	1	0	4, 1, 0	-1	0.0	4.0
22	22	5/8	I6	c	III		I6	I		6				M	1	0	4, 1, 0		0.0	4.0
22	22	3/4	V2(13)	c	III		V2(13)	V		2	13			Mm7	1	0	-1, 1, 5, 2	4	1.0	-1.0
22	22	1	V2	c	III		V2	V		2				Mm7	1	0	-1, 1, 5, 2		1.0	-1.0
22	22	9/8	V2(11)	c	III		V2(11)	V		2	11			Mm7	1	0	-1, 1, 5, 2	0	1.0	-1.0
22	22	11/8	V2	c	III		V2	V		2				Mm7	1	0	-1, 1, 5, 2		1.0	-1.0
23	23	0	I6(9)	c	III		I6(9)	I		6	9			M	1	0	4, 1, 0	2	0.0	4.0
23	23	1/4	I6	c	III		I6	I		6				M	1	0	4, 1, 0		0.0	4.0
