mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	12.0	0	0	4/4	4	1	D.I		D	I		I		I							M	0	0	0, 4, 1		0	0
4	4	12	12	4.0	0	0	4/4	4	1	ii%43/iii		D	I		ii%43/iii		ii	%	43		iii			%7	0	0	0, 4, 6, 3		6	0
5	5	16	16	3.0	0	0	4/4	4	1	V7/iii		D	I		V7/iii		V		7		iii			Mm7	0	0	5, 9, 6, 3		5	5
5	5	19	19	1.0	3/4	3/4	4/4	4	1	iii64		D	I		iii64		iii		64					m	0	0	5, 4, 1		4	5
6	6	20	20	8.0	0	0	4/4	4	1	iii		D	I		iii		iii							m	0	0	4, 1, 5		4	4
8	8	28	28	4.0	0	0	4/4	4	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	9	32	32	4.0	0	0	4/4	4	1	ii65		D	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
10	10	36	36	4.0	0	0	4/4	4	1	IV		D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
11	11	40	40	4.0	0	0	4/4	4	1	V65/V		D	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
12	12	44	44	4.0	0	0	4/4	4	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	48	48	2.0	0	0	4/4	4	1	I\\		D	I		I		I						\\	M	0	0	0, 4, 1		0	0
13	13	50	50	1.0	1/2	1/2	4/4	4	1	viio		D	I		viio		vii	o						o	0	0	5, 2, -1		5	5
13	13	51	51	1.0	3/4	3/4	4/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
14	14	52	52	1.0	0	0	4/4	4	1	viio		D	I		viio		vii	o						o	0	0	5, 2, -1		5	5
14	14	53	53	1.0	1/4	1/4	4/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
14	14	54	54	1.0	1/2	1/2	4/4	4	1	ii		D	I		ii		ii							m	0	0	2, -1, 3		2	2
14	14	55	55	1.0	3/4	3/4	4/4	4	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	56	56	1.0	0	0	4/4	4	1	V43(9)		D	I		V43(9)		V		43	9				Mm7	0	0	2, -1, 1, 5	3	1	2
15	15	57	57	1.0	1/4	1/4	4/4	4	1	ii65		D	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
15	15	58	58	1.0	1/2	1/2	4/4	4	1	V65		D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
15	15	59	59	1.0	3/4	3/4	4/4	4	1	IV6(+2)		D	I		IV6(+2)		IV		6	+2				M	0	0	3, 0, -1	1	-1	3
16	16	60	60	1.0	0	0	4/4	4	1	iii6		D	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
16	16	61	61	1.0	1/4	1/4	4/4	4	1	#viio65/vi		D	I		#viio65/vi		#vii	o	65		vi			o7	0	0	5, 2, -1, 8		8	5
16	16	62	62	1.0	1/2	1/2	4/4	4	1	V(964)		D	I		V(964)		V			964				M	0	0	1, 0, 4	3	1	1
16	16	63	63	1.0	3/4	3/4	4/4	4	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	64	64	2.0	0	0	4/4	4	1	I\\		D	I		I		I						\\	M	0	0	0, 4, 1		0	0
17	17	66	66	1.0	1/2	1/2	4/4	4	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
17	17	67	67	1.0	3/4	3/4	4/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
18	18	68	68	1.0	0	0	4/4	4	1	viio6		D	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
18	18	69	69	1.0	1/4	1/4	4/4	4	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
18	18	70	70	1.0	1/2	1/2	4/4	4	1	ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
18	18	71	71	0.5	3/4	3/4	4/4	4	1	I64		D	I		I64		I		64					M	0	0	1, 0, 4		0	1
18	18	143/2	143/2	0.5	7/8	7/8	4/4	4	1	vi6		D	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
19	19	72	72	1.0	0	0	4/4	4	1	V65		D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
19	19	73	73	1.0	1/4	1/4	4/4	4	1	IV6(+2)		D	I		IV6(+2)		IV		6	+2				M	0	0	3, 0, -1	1	-1	3
19	19	74	74	1.0	1/2	1/2	4/4	4	1	iii65		D	I		iii65		iii		65					mm7	0	0	1, 5, 2, 4		4	1
19	19	75	75	1.0	3/4	3/4	4/4	4	1	ii65		D	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
20	20	76	76	1.0	0	0	4/4	4	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
20	20	77	77	1.0	1/4	1/4	4/4	4	1	#viio43/vi		D	I		#viio43/vi		#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2
20	20	78	78	1.0	1/2	1/2	4/4	4	1	vi6		D	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
20	20	79	79	1.0	3/4	3/4	4/4	4	1	viio		D	I		viio		vii	o						o	0	0	5, 2, -1		5	5
21	21	80	80	1.0	0	0	4/4	4	1	I\\		D	I		I		I						\\	M	0	0	0, 4, 1		0	0
21	21	81	81	1.0	1/4	1/4	4/4	4	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
21	21	82	82	2.0	1/2	1/2	4/4	4	1	IV6		D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
22	22	84	84	1.0	0	0	4/4	4	1	I64		D	I		I64		I		64					M	0	0	1, 0, 4		0	1
22	22	85	85	1.0	1/4	1/4	4/4	4	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
22	22	86	86	2.0	1/2	1/2	4/4	4	1	IV6		D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
23	23	88	88	1.0	0	0	4/4	4	1	I64		D	I		I64		I		64					M	0	0	1, 0, 4		0	1
